Benefit sub-Categories,PLUS,PRO,MAX,PROMAX,MAGNUM
Breast reductions or enlargements ,,,,,
Humidifiers,,,,,
"Hormonal therapy (Anabolic Steroids and testosterone, Immunomodulators)",,,,,
Autopsies,,,,,
Domiciliary/Hospice Care,,,,,
Neonatal care not listed under neonatal services,,,,,
"Conditions caused by an act of war, an epidemic or Enrolee participating in a riot",,,,,
Services primarily for weight reduction or treatment of obesity,,,,,
Professional Sports and wilful exposure to needless danger,,,,,
Spine surgery,,,,,
Laparoscopic surgery,,,,,
Epidural for normal delivery,,,,,
"All procedures, management and investigations not covered by the plan",,,,,
